CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;3231547.46;44018.56
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;25335813.97;24803972.66
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;33636617.41;45300194.97
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;8726333.65;10320152.21
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5776847.02;7735106.74
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5693669.40;6856701.49
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5379459.61;7238360.10
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5510588.48;7344155.65
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;5058345.60;5389404.40
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;3858049.98;4704660.81
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;1779519.22;1273684.91
02;1112500101;2023;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial;SECRETARIA MUNICIPAL DE FINANÇAS;06;789382.04;85795.50
02;1112500102;2023;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;523719.42;9938.20
02;1112500102;2023;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;5760795.85;4767188.92
