CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;138729.82;175576.50
02;1112500102;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Territorial Urbana;SECRETARIA MUNICIPAL DE FINANÇAS;06;144585.78;32489.49
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;1744.83;4349.97
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;993.67;1169.70
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;996.29;371.84
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;2779.45;886.99
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;28499.27;28484.39
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;55397.36;52851.37
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;103073.90;73745.21
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;109313.20;102319.38
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;155263.55;129581.83
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;380767.65;155658.25
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;341545.80;145049.38
02;1112500201;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;364747.39;54348.69
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;2152299.24;2557442.91
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;2181977.46;2194665.31
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1669860.16;2365522.34
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1643513.85;1712588.22
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1669115.30;1839746.31
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1517357.64;1715182.92
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1466483.20;2145190.94
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1634695.99;2305798.91
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1533827.12;1549093.76
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1223715.08;1351774.06
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;982248.70;1822863.36
02;1112500301;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imposto sobre a Propriedade Predial e Territorial ;SECRETARIA MUNICIPAL DE FINANÇAS;06;888567.08;3538103.96
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;687806.88;816363.31
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;690478.90;794254.11
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;565991.57;874232.88
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;533085.15;727266.35
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;576439.19;746946.25
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;607644.56;621841.74
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;655618.04;613305.35
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;725809.83;1059045.77
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;713502.39;702427.45
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;597937.78;574188.92
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;493543.75;602409.59
02;1112500401;2024;1500000;Recursos não Vinculados de Impostos;12;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Dívida Ativa - Multas e Juros - IPTU;SECRETARIA MUNICIPAL DE FINANÇAS;06;429837.94;1122436.28
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;9238735.19;11985995.16
02;1112530101;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Imp s/ Trans Inter Vivos Bens Imov e Dir Reais - I;SECRETARIA MUNICIPAL DE FINANÇAS;06;10170095.64;10794820.71
