CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;628356.26;2059264.56
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;413395.98;1544448.45
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;382768.79;1544448.45
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;918442.51;1016968.49
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;604243.94;762726.39
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;559477.42;762726.39
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1001529.48;1389856.26
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;658906.98;1042392.21
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;610090.62;1042392.21
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;960777.85;1336086.23
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;632096.46;1002064.70
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;585266.40;1002064.70
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1079734.35;1429697.53
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;710357.98;1072273.17
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;657729.86;1072273.17
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1171700.90;1407098.95
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;770862.88;1055324.24
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;713752.04;1055324.24
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1173671.14;1065498.75
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;772159.10;799124.08
02;1113031101;2021;102;Receitas de Impostos e de Transferências de Impostos Vinculados à Saúde;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;714952.24;799124.08
02;1113031101;2021;100;Recursos Não Vinculados de Impostos/ Recursos Ordinários;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;1240204.70;896790.29
02;1113031101;2021;101;Receitas de Impostos e de Transferências de Impostos Vinculados à Educação;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;IRRF - Trabalho ;SECRETARIA MUNICIPAL DE FINANÇAS;06;815931.53;672592.73
